person_uuid,identifier_value,firstname,lastname,publication_list,first_letter,resolved_for,marked
24646,,Manoj Rohit,Kumar,"[28050836, 18221117, 29985209, 30182077, 29760198, 33692645, 32090261, 23313803, 24002688, 30262526, 32556910, 12901817, 33121920, 27094189, 32107754, 32632539, 35681017, 22967312, 29194684, 19692204, 29523715, 35553028, 35980078, 33916183, 31245304, 31049578, 35409104, 29380075, 26464578, 35476544, 35281188, 34170328, 25652408, 17559381, 26013749, 29915789, 19072396, 27923988, 21437652, 29074568, 32942452, 25866390, 25574472, 19185001, 18433395, 34294331, 29641982, 34853597, 30364716, 34463220, 35415101, 27714681, 19918282, 30635155, 28374414, 35039927, 16482560, 35520813, 27789797, 34572990, 35819153, 24192295, 19375973, 22000048, 35732179, 17711770, 28001404, 31050175, 24857377, 24039990, 16931048, 27581337, 20307363, 26436007, 34926112, 27881090, 33387737, 22869573, 22280097, 33327127, 22153249, 22022467, 30412706, 36213342, 34414422, 35334323, 30484765, 11839882, 18984936, 28391479, 28099414, 34588452, 34129754, 31148204, 31541422, 28330246, 29444421, 32363058, 32102264, 35674927, 20112049, 27846578, 27492021, 25657334, 16875863, 30048637, 32014876, 35914557, 30181405, 27560025, 24055158, 23730635, 34642509, 23666138, 21932789, 35632318, 25737979, 34586499, 34029544, 26199999, 32363064, 33641101, 34067745, 31217904, 33712132, 23488990, 34729051, 33747983, 29750821, 33552834, 33815032, 25755591, 35947022, 29525759, 26120138, 35328038, 31626521, 25762492, 18848683, 34449317, 30355726, 32682968, 26490957, 18334493, 33606848, 12537616, 35344324, 21388656, 32563041, 24797271, 27615369, 30925326, 29844452, 34400853, 30568345, 24312861, 25755608, 31064104, 28117166, 34115214, 34608586, 19699345, 33396407, 27798445, 29277745, 16891544, 33638770, 31413505, 26663392, 31416791, 31417511, 27387950, 25392792, 21723119, 35782661, 34505932, 30475700, 16911696, 25104231, 31299602, 22322438, 25075227, 32908140, 32025166, 33638023, 29542112, 22825610, 30002214, 19517394, 32038887, 21294143, 19098853, 35549575, 18805954, 29784643, 30113706, 35129073, 30838345, 34345500, 33006093, 28877962, 27633273, 28157707, 35139704, 18495416, 34781454, 34063586, 34754544, 32462441, 34594472, 33616627, 36139828, 35421412]",M,GB0010308,True
24691,,Manmohan,Kumar,"[31444398, 35772676, 28917943, 24997262]",M,GB0010308,True
24701,,Mahendra,Kumar,"[23354550, 20578972, 19576195, 20207363, 34170328, 35511400, 17993249, 26865930, 19699583, 20400372, 27739034, 34339386, 34103826, 25784168]",M,GB0010308,True
17,GB0010322,Jodie,King,[10762302],,GB0010322,True
9155,,Jonathan N,King,"[31560137, 34196973, 28693297, 35460083]",J,GB0010322,True
16364,,Joan C,King,[20707896],J,GB0010322,True
24795,,Jason S,King,"[29686972, 23369714, 28974017, 22981844, 23834384, 32749737, 20530573, 22891261, 23885127, 28544479, 22024750, 30967007, 25758444, 22722653, 31283093, 32531280, 30730983, 28671610, 35378702, 30596802, 30967000, 30806144, 19733079, 31949066, 30650235, 27715405, 18812082, 28414774, 35134329, 25646440, 27647881, 26799652, 34402856, 28424231, 19383941, 31840784, 22966490, 18413611, 34831258]",J,GB0010322,True
25068,,J B,King,"[9865397, 8245089, 8228293, 16158376, 8294838, 11147152, 1462478, 3761285, 9015604, 18359266, 11071058, 1450890, 8244553, 8300667, 6958314, 7921912, 1768160]",J,GB0010322,True
25106,,J A,King,"[35226718, 35905365, 34793584, 16385805, 6361232, 26481101, 27661677, 73029, 32383915, 3549438, 15870757, 15608741, 27964898, 33603151, 11490556, 34727147, 34727148, 32565113, 11135323, 19530501, 33196702, 16027012, 10229305, 31922872, 3415334, 4727554, 32845700, 35467301, 10828778, 12962223, 19815268, 31976987, 27457513, 11600708, 8134306, 7284291, 30092609, 32058742, 1584729, 18232779, 31012626, 9419678, 9223077, 31868480, 11292041, 4545784, 18539615, 11009682, 33750993, 36053704, 34780581, 8227279, 3550725, 34781320, 932219, 24202465, 10408705, 15720691, 32302170, 17163840, 7759827, 3631273, 32501048, 35867464, 34797136, 33493254, 32215380, 3281780, 36018710, 4792502, 23929227, 31697516, 2504359, 24196931, 10732871, 9457494, 10115153, 23321705, 27910379, 24702712, 34533355, 32108833, 18477644, 34241533, 33095627, 35029469, 35302730, 11548046, 32589167, 10897057, 28987770, 3625699, 10113765, 33315428, 34727143, 35802434, 17237682, 11571039, 29104422, 11377719, 12066730, 11053186, 6336323, 26621499, 3324358, 11159655, 32852485, 15584406, 9885139, 11131240, 34727142, 28765571, 28769121, 33095594, 35666690, 15600537, 10947607, 31886779, 22092882, 17604939, 2271828, 11775798, 8171763, 29864326, 34780582, 34127351, 7781963, 20075409, 11491476, 8382420, 17393815, 2420290, 31748724, 3404570, 31126335, 18281692, 35027287, 3898037, 35275660, 950652, 16351696, 35394329, 34215541, 10341328, 3888778, 35841572, 12019244, 34597080, 22112570, 5075554, 32831412, 35867460, 34241504, 14188778, 32834020, 36115746, 8625149, 33465186, 18755819, 9352309, 27768338, 33339844, 3554166, 32226948, 24003921, 16336475, 9718839, 9654262, 31807694, 9362383, 27157127, 35119878, 14345080, 34727144, 12019245, 8776448, 3533711, 32633732, 12582506, 12582537]",J,GB0010322,True
25157,,Judy A C,King,"[25006426, 18556624, 30656459, 20400904, 21561765, 17663302, 16650408, 18202807, 17950075, 34387920, 34218056, 18065657, 15136474, 26707409, 15020205, 32170635, 21441605, 16760315, 27214151, 34148101, 17855129, 15790951, 18068735, 15318930, 30758991, 17921144, 24252072, 17637721, 27602409, 15192021, 17981956]",J,GB0010322,True
