game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
194701270BOS,1947,Celtics,Capitols,H,0,57,80,L,0.34449345,-23
194701290NYK,1947,Knicks,Ironmen,H,0,64,60,W,0.722431,4
194701290WSC,1947,Celtics,Capitols,A,0,57,69,L,0.12717342,-12
194701300BOS,1947,Celtics,Ironmen,H,0,66,51,W,0.6422224,15
194701300GSW,1947,Knicks,Warriors,A,0,58,65,L,0.30124444,-7
194702010NYK,1947,Knicks,Warriors,H,0,63,71,L,0.56406307,-8
194702020DTF,1947,Knicks,Falcons,A,0,63,65,L,0.41854697,-2
194702030BOS,1947,Celtics,Warriors,H,0,55,61,L,0.46672928,-6
194702050NYK,1947,Knicks,Bombers,H,0,46,71,L,0.54271287,-25
194702060BOS,1947,Celtics,Knicks,H,0,49,48,W,0.60137117,1
194702060BOS,1947,Knicks,Celtics,A,0,48,49,L,0.39862883,-1
194702080NYK,1947,Knicks,Huskies,H,0,69,46,W,0.67502677,23
194702120NYK,1947,Knicks,Capitols,H,0,76,72,W,0.37314409,4
194702130BOS,1947,Celtics,Bombers,H,0,64,54,W,0.45256445,10
194702150NYK,1947,Knicks,Rebels,H,0,84,90,L,0.61989367,-6
194702160CHS,1947,Celtics,Stags,A,0,77,84,L,0.18117541,-7
194702160DTF,1947,Knicks,Falcons,A,0,66,58,W,0.36089361,8
194702180CLR,1947,Celtics,Rebels,A,0,73,84,L,0.28047459999999996,-11
194702190DTF,1947,Celtics,Falcons,A,0,57,51,W,0.34814423,6
194702190NYK,1947,Knicks,Steamrollers,H,0,62,69,L,0.63410562,-7
194702210NYK,1947,Knicks,Ironmen,H,0,77,49,W,0.72896463,28
194702210TRH,1947,Celtics,Huskies,A,0,61,67,L,0.38661969,-6
194702230BOS,1947,Celtics,Steamrollers,H,0,55,67,L,0.57069027,-12
194702230CHS,1947,Knicks,Stags,A,0,68,82,L,0.22205275,-14
194702240WSC,1947,Celtics,Capitols,A,0,59,83,L,0.12092489,-24
194702260NYK,1947,Knicks,Capitols,H,0,60,84,L,0.35211492,-24
194702270PRO,1947,Knicks,Steamrollers,A,0,73,65,W,0.31945342,8
194702280BOS,1947,Celtics,Rebels,H,0,69,62,W,0.54200822,7
194703010NYK,1947,Knicks,Huskies,H,0,63,48,W,0.66334957,15
194703010WSC,1947,Celtics,Capitols,A,0,52,75,L,0.11399204,-23
194703060BOS,1947,Celtics,Falcons,H,0,74,65,W,0.62940526,9
194703060GSW,1947,Knicks,Warriors,A,0,61,59,W,0.25293106,2
194703080BOS,1947,Celtics,Huskies,H,0,67,65,W,0.6337136,2
