PARENT_TAG,TAGS_LEVEL_1,TAGS_LEVEL_2,TAGS_LEVEL_3,TAGS_LEVEL_4,TAGS_LEVEL_5,TAGS_LEVEL_6,SYNONYMS,REGEXES,SCORES,CRM_COLUMN,URL,WEIGHT,VISIBLE
,,,,EMBRACE,,,,\bEMBRACE\b,,,,1,1
,,,,BASE,,,,\bBASE\b,,,,1,1
,,,Rituxan studies,,,,,Rituxan studies,,,,1,1
,,,,EXPLORER,,,,\bEXPLORER\b,,,,1,1
,,,,LUNAR,,,,\bLUNAR\b,,,,1,1
,,,Olumiant studies,,,,,Olumiant studies,,,,1,1
,,,,SLE-BRAVE-X,,,,\bSLE-BRAVE-X\b,,,,1,1
,,,,SLE-BRAVE-II,,,,\bSLE-BRAVE-II\b,,,,1,1
,,,,SLE-BRAVE-II,,,,\bSLE-BRAVE-II\b,,,,1,1
,Disease Index,,,,,,,,,,,1,1
,,SLEDAI,,,,,Systemic Lupus Erythematosis Disease Activity Index,Systemic Lupus Erythematosis Disease Activity Index,,,,1,1
,,BICLA,,,,,BILAG-Based Composite Lupus Assessment,\bBILAG-Based Composite Lupus Assessment\b,,,,1,1
,,BILAG,,,,,British Isles Lupus Assessment Group Index,British Isles Lupus Assessment Group Index,,,,1,1
,,SRI,,,,,SLE Responder Index,\bSLE Responder Index\b,,,,1,1
,,CLASI,,,,,,,,,,1,1
,,,CLASI,,,,Custaneous Lupus Erythematosis Disease Areas and Severity Index,\bCLASI\b / Custaneous Lupus Erythematosis Disease Areas and Severity Index,,,,1,1
,,,mCLASI,,,,Modified Cutaneous Lupus Erythematosus Disease Area and Severity Index,\bmCLASI\b / Modified Cutaneous Lupus Erythematosus Disease Area and Severity Index,,,,1,1
,,SLEDAI-2K,,,,,SLE Disease Activity Index 2000 / Systemic Lupus Erythematosis Disease Activity Index 2000,\bSLE Disease Activity Index 2000\b / Systemic Lupus Erythematosis Disease Activity Index 2000,,,,1,1
,Guidelines,,,,,,,,,,,1,1
,,PNDS,,,,,,,,,,1,1
,,EULAR,,,,,EULAR recommendations,\bEULAR recommendations\b,,,,1,1
,,treat-to-target,,,,,,,,,,1,1
,,,treat-to-target,,,,,treat-to-target,,,,1,1
,,,LLDAS,,,,Lupus Low Disease Activity State,\bLLDAS\b / Lupus Low Disease Activity State,,,,1,1
,,,DORIS,,,,Definition of remission in SLE,\bDORIS\b / \bDefinition of remission in SLE\b,,,,1,1
,,,Remission,,,,,Remission,,,,1,1
